time,open,high,low,close,volume
2024-01-01,100.00,101.09,99.22,100.76,109403
2024-01-02,100.76,101.19,99.29,99.92,209157
2024-01-03,99.92,100.85,98.27,99.23,63772
2024-01-04,99.23,99.81,98.16,99.64,197318
2024-01-05,99.64,100.89,98.48,100.63,229369
2024-01-06,100.63,101.56,99.45,99.94,109524
2024-01-07,99.94,101.05,99.74,100.48,227339
2024-01-08,100.48,100.59,97.61,99.29,248904
2024-01-09,99.29,100.37,99.09,100.10,247922
2024-01-10,100.10,100.38,99.36,99.44,170417
2024-01-11,99.44,99.87,99.41,99.71,160694
2024-01-12,99.71,101.53,98.21,98.97,144314
2024-01-13,98.97,99.51,98.10,98.17,174226
2024-01-14,98.17,99.97,97.00,98.23,161207
2024-01-15,98.23,100.00,97.61,99.52,192025
2024-01-16,99.52,99.76,97.85,98.61,50607
2024-01-17,98.61,98.92,98.45,98.90,61646
2024-01-18,98.90,101.13,97.64,98.37,134823
2024-01-19,98.37,99.31,97.58,98.86,163839
2024-01-20,98.86,100.30,97.33,99.65,90079
2024-01-21,99.65,101.58,99.36,100.36,238610
2024-01-22,100.36,101.08,97.10,98.47,136737
2024-01-23,98.47,99.92,94.31,96.60,195073
2024-01-24,96.60,97.94,95.65,97.53,130496
2024-01-25,97.53,97.66,96.63,97.31,101965
2024-01-26,97.31,98.65,96.32,98.07,176444
2024-01-27,98.07,99.68,97.51,99.00,205699
2024-01-28,99.00,101.42,97.51,99.98,237832
2024-01-29,99.98,101.12,99.63,100.06,72837
2024-01-30,100.06,100.31,98.94,99.60,61453
2024-01-31,99.60,101.36,99.09,100.23,203839
2024-02-01,100.23,102.92,99.13,101.88,191498
2024-02-02,101.88,104.02,100.60,103.15,114993
2024-02-03,103.15,104.18,101.68,102.98,93764
2024-02-04,102.98,104.41,102.68,103.76,135369
2024-02-05,103.76,105.20,103.26,103.81,62082
2024-02-06,103.81,104.56,103.67,104.18,215697
2024-02-07,104.18,106.23,104.02,105.57,228858
2024-02-08,105.57,105.58,104.24,104.78,96030
2024-02-09,104.78,105.13,101.92,103.20,51579
2024-02-10,103.20,104.94,103.07,104.80,229072
2024-02-11,104.80,106.18,103.66,105.34,97179
2024-02-12,105.34,106.52,103.85,104.90,106042
2024-02-13,104.90,106.56,104.22,106.35,196127
2024-02-14,106.35,106.74,105.34,105.88,81958
2024-02-15,105.88,107.34,105.48,107.17,88119
2024-02-16,107.17,107.60,106.09,107.15,247205
2024-02-17,107.15,107.36,107.13,107.28,131243
2024-02-18,107.28,107.79,106.08,106.08,142271
2024-02-19,106.08,108.10,104.75,106.65,96502
2024-02-20,106.65,108.46,104.12,105.06,162516
2024-02-21,105.06,108.02,104.95,106.38,119554
2024-02-22,106.38,107.23,105.13,105.28,149863
2024-02-23,105.28,106.45,104.33,105.67,131567
2024-02-24,105.67,105.91,103.71,104.31,118273
2024-02-25,104.31,104.61,104.03,104.56,141034
2024-02-26,104.56,105.31,103.09,103.51,109884
2024-02-27,103.51,103.53,102.26,102.39,188456
2024-02-28,102.39,104.49,101.69,103.74,228689
2024-02-29,103.74,104.03,102.10,102.61,245739
2024-03-01,102.61,102.90,102.31,102.84,148634
2024-03-02,102.84,103.39,102.12,102.64,182196
2024-03-03,102.64,104.43,99.52,101.68,242997
2024-03-04,101.68,103.62,101.41,102.79,169036
2024-03-05,102.79,104.52,102.46,102.79,131932
2024-03-06,102.79,103.61,102.60,103.36,144183
2024-03-07,103.36,104.77,102.82,103.99,95061
2024-03-08,103.99,105.96,103.83,104.03,209345
2024-03-09,104.03,105.29,103.37,104.23,245968
2024-03-10,104.23,107.80,103.64,105.87,81167
2024-03-11,105.87,107.72,105.67,107.06,215488
2024-03-12,107.06,108.10,106.74,107.80,168369
2024-03-13,107.80,109.07,106.47,107.65,140664
2024-03-14,107.65,108.01,105.83,106.00,96736
2024-03-15,106.00,106.92,105.27,105.31,206234
2024-03-16,105.31,106.76,104.24,106.12,153828
2024-03-17,106.12,107.18,104.72,104.96,235537
2024-03-18,104.96,105.10,104.27,104.46,175301
2024-03-19,104.46,104.67,102.58,103.35,77713
2024-03-20,103.35,103.62,103.19,103.44,244696
2024-03-21,103.44,104.16,102.40,103.21,188054
2024-03-22,103.21,104.27,101.91,103.53,228582
2024-03-23,103.53,104.49,102.37,103.12,248410
2024-03-24,103.12,103.90,99.75,101.56,218931
2024-03-25,101.56,103.52,101.02,101.47,124493
2024-03-26,101.47,101.99,100.34,100.64,204587
2024-03-27,100.64,101.55,99.08,101.08,106986
2024-03-28,101.08,101.35,100.11,100.97,143715
2024-03-29,100.97,103.19,100.31,102.15,233303
2024-03-30,102.15,102.77,101.62,102.19,59103
2024-03-31,102.19,102.27,101.39,102.10,136893
2024-04-01,102.10,104.98,100.54,103.21,228185
2024-04-02,103.21,103.91,102.67,102.68,120962
2024-04-03,102.68,103.05,102.05,102.85,189675
2024-04-04,102.85,103.96,101.30,102.93,203477
2024-04-05,102.93,103.01,101.65,102.36,138667
2024-04-06,102.36,102.75,100.06,102.18,130339
2024-04-07,102.18,104.34,101.89,102.06,132094
2024-04-08,102.06,104.08,100.78,102.86,203592
2024-04-09,102.86,103.26,101.78,101.81,176412
2024-04-10,101.81,101.96,100.51,101.28,221548
2024-04-11,101.28,101.66,98.63,100.42,119380
2024-04-12,100.42,100.44,99.46,100.32,77705
2024-04-13,100.32,101.38,99.10,99.87,117829
2024-04-14,99.87,101.69,99.33,100.93,215315
2024-04-15,100.93,102.03,99.33,100.78,103266
2024-04-16,100.78,101.62,99.45,99.76,184511
2024-04-17,99.76,100.19,99.57,99.60,117221
2024-04-18,99.60,99.79,98.75,98.92,198831
2024-04-19,98.92,101.54,97.94,100.49,238183
2024-04-20,100.49,102.27,100.36,101.86,238040
2024-04-21,101.86,103.96,100.80,103.25,72019
2024-04-22,103.25,106.54,101.55,104.19,94114
2024-04-23,104.19,104.96,101.72,103.10,227743
2024-04-24,103.10,104.59,102.07,102.72,207262
2024-04-25,102.72,103.44,100.20,100.85,50513
2024-04-26,100.85,100.88,99.99,100.70,188867
2024-04-27,100.70,101.19,100.50,100.61,133726
2024-04-28,100.61,101.41,99.18,99.56,178205
2024-04-29,99.56,100.89,97.46,98.67,182093
2024-04-30,98.67,99.54,96.55,98.32,229841
2024-05-01,98.32,98.92,97.83,97.92,247563
2024-05-02,97.92,98.10,97.88,97.89,178555
2024-05-03,97.89,99.30,96.63,98.96,209976
